"","location","recv","TagCode","day","count","beacon","recv_start"
"183","BeniciaRT_02 ",18008,"FAA2",2018-06-22,1380,"FAA2",2018-04-24 17:08:04
"184","BeniciaRT_02 ",18008,"FAA2",2018-06-23,1377,"FAA2",2018-04-24 17:08:04
"185","BeniciaRT_02 ",18008,"FAA2",2018-06-24,1372,"FAA2",2018-04-24 17:08:04
"186","BeniciaRT_02 ",18008,"FAA2",2018-06-25,1375,"FAA2",2018-04-24 17:08:04
"187","BeniciaRT_02 ",18008,"FAA2",2018-06-26,1364,"FAA2",2018-04-24 17:08:04
"188","BeniciaRT_02 ",18008,"FAA2",2018-06-27,1374,"FAA2",2018-04-24 17:08:04
"189","BeniciaRT_02 ",18008,"FAA2",2018-06-28,1379,"FAA2",2018-04-24 17:08:04
"190","BeniciaRT_02 ",18008,"FAA2",2018-06-29,1379,"FAA2",2018-04-24 17:08:04
"191","BeniciaRT_02 ",18008,"FAA2",2018-06-30,1378,"FAA2",2018-04-24 17:08:04
"192","BeniciaRT_02 ",18008,"FAA2",2018-07-01,1382,"FAA2",2018-04-24 17:08:04
"193","BeniciaRT_02 ",18008,"FAA2",2018-07-02,1379,"FAA2",2018-04-24 17:08:04
"194","BeniciaRT_02 ",18008,"FAA2",2018-07-03,1368,"FAA2",2018-04-24 17:08:04
"195","BeniciaRT_02 ",18008,"FAA2",2018-07-04,1373,"FAA2",2018-04-24 17:08:04
"196","BeniciaRT_02 ",18008,"FAA2",2018-07-05,1404,"FAA2",2018-04-24 17:08:04
"197","BeniciaRT_02 ",18008,"FAA2",2018-07-06,1389,"FAA2",2018-04-24 17:08:04
"198","BeniciaRT_02 ",18008,"FAA2",2018-07-07,1377,"FAA2",2018-04-24 17:08:04
"199","BeniciaRT_02 ",18008,"FAA2",2018-07-08,1378,"FAA2",2018-04-24 17:08:04
"200","BeniciaRT_02 ",18008,"FAA2",2018-07-09,1393,"FAA2",2018-04-24 17:08:04
"201","BeniciaRT_02 ",18008,"FAA2",2018-07-10,1374,"FAA2",2018-04-24 17:08:04
"202","BeniciaRT_02 ",18008,"FAA2",2018-07-11,1386,"FAA2",2018-04-24 17:08:04
"203","BeniciaRT_02 ",18008,"FAA2",2018-07-12,1316,"FAA2",2018-04-24 17:08:04
"204","BeniciaRT_02 ",18008,"FAA2",2018-07-13,1227,"FAA2",2018-04-24 17:08:04
